name,mos
banana_dec_0_r1.ply,6.121212121212121
banana_dec_0_r2.ply,7.2727272727272725
banana_dec_0_r3.ply,8.06060606060606
banana_dec_0_r4.ply,6.0
banana_dec_0_r5.ply,9.181818181818182
banana_dec_0_r6.ply,8.545454545454545
banana_dec_0_r7.ply,5.696969696969697
banana_dec_0_r8.ply,8.606060606060606
banana_dec_0_r9.ply,8.93939393939394
banana_q_bit10_CN1.ply,9.272727272727273
banana_q_bit10_CN2.ply,6.606060606060606
banana_q_bit10_CN3.ply,4.96969696969697
banana_q_bit10_CN4.ply,4.03030303030303
banana_q_bit10_CN5.ply,3.5757575757575757
banana_q_bit10_DS1.ply,9.303030303030303
banana_q_bit10_DS2.ply,8.969696969696969
banana_q_bit10_DS3.ply,9.090909090909092
banana_q_bit10_DS4.ply,6.363636363636363
banana_q_bit10_DS5.ply,3.303030303030303
banana_q_bit10_GN1.ply,9.090909090909092
banana_q_bit10_GN2.ply,8.393939393939394
banana_q_bit10_GN3.ply,6.03030303030303
banana_q_bit10_GN4.ply,3.9393939393939394
banana_q_bit10_GN5.ply,3.4242424242424243
banana_q_bit10_dl_R0.ply,1.303030303030303
banana_q_bit10_dl_R2.ply,5.424242424242424
banana_q_bit10_dl_R3.ply,8.515151515151516
banana_q_bit10_dl_R5.ply,9.151515151515152
banana_q_bit10_dl_R6.ply,8.93939393939394
banana_q_bit10_gpcc_r1.ply,9.181818181818182
banana_q_bit10_gpcc_r2.ply,8.303030303030303
banana_q_bit10_gpcc_r3.ply,6.242424242424242
banana_q_bit10_gpcc_r4.ply,8.181818181818182
banana_q_bit10_gpcc_r5.ply,7.96969696969697
banana_q_bit10_gpcc_r6.ply,5.454545454545454
banana_q_bit10_gpcc_r7.ply,7.333333333333333
banana_q_bit10_gpcc_r8.ply,7.636363636363637
banana_q_bit10_gpcc_r9.ply,4.606060606060606
banana_q_bit10_gpcc_r10.ply,2.4545454545454546
banana_q_bit10_gpcc_r11.ply,2.6666666666666665
banana_q_bit10_gpcc_r12.ply,2.6666666666666665
barrel_dec_0_r1.ply,4.484848484848484
barrel_dec_0_r2.ply,6.212121212121212
barrel_dec_0_r3.ply,7.575757575757576
barrel_dec_0_r4.ply,4.9393939393939394
barrel_dec_0_r5.ply,6.636363636363637
barrel_dec_0_r6.ply,8.090909090909092
barrel_dec_0_r7.ply,4.575757575757576
barrel_dec_0_r8.ply,6.96969696969697
barrel_dec_0_r9.ply,8.363636363636363
barrel_q_bit10_CN1.ply,9.030303030303031
barrel_q_bit10_CN2.ply,6.0
barrel_q_bit10_CN3.ply,4.393939393939394
barrel_q_bit10_CN4.ply,3.787878787878788
barrel_q_bit10_CN5.ply,3.1515151515151514
barrel_q_bit10_DS1.ply,8.848484848484848
barrel_q_bit10_DS2.ply,7.878787878787879
barrel_q_bit10_DS3.ply,6.242424242424242
barrel_q_bit10_DS4.ply,4.090909090909091
barrel_q_bit10_DS5.ply,2.242424242424242
barrel_q_bit10_GN1.ply,8.818181818181818
barrel_q_bit10_GN2.ply,8.484848484848484
barrel_q_bit10_GN3.ply,6.090909090909091
barrel_q_bit10_GN4.ply,4.181818181818182
barrel_q_bit10_GN5.ply,3.515151515151515
barrel_q_bit10_dl_R0.ply,1.1515151515151516
barrel_q_bit10_dl_R2.ply,2.5454545454545454
barrel_q_bit10_dl_R3.ply,4.575757575757576
barrel_q_bit10_dl_R5.ply,4.484848484848484
barrel_q_bit10_dl_R6.ply,4.636363636363637
barrel_q_bit10_gpcc_r1.ply,8.212121212121213
barrel_q_bit10_gpcc_r2.ply,6.666666666666667
barrel_q_bit10_gpcc_r3.ply,4.545454545454546
