image1,image2,mos1,mos2,worst1,best1,worst2,best2
apple_dec_0_r3.ply,apple_dec_0_r2.ply,6.0606060606060606,5.090909090909091,1.5,10.0,1.5,9.5
apple_dec_0_r3.ply,apple_dec_0_r1.ply,6.0606060606060606,4.181818181818182,1.5,10.0,1.5,8.5
apple_dec_0_r2.ply,apple_dec_0_r1.ply,5.090909090909091,4.181818181818182,1.5,9.5,1.5,8.5
apple_dec_0_r6.ply,apple_dec_0_r5.ply,6.848484848484849,5.727272727272728,1.5,10.0,1.5,9.5
apple_dec_0_r6.ply,apple_dec_0_r4.ply,6.848484848484849,5.121212121212121,1.5,10.0,1.5,8.5
apple_dec_0_r5.ply,apple_dec_0_r4.ply,5.727272727272728,5.121212121212121,1.5,9.5,1.5,8.5
apple_dec_0_r9.ply,apple_dec_0_r8.ply,8.0,6.0,1.5,10.0,1.5,9.5
apple_dec_0_r9.ply,apple_dec_0_r7.ply,8.0,5.818181818181818,1.5,10.0,1.5,8.5
apple_dec_0_r8.ply,apple_dec_0_r7.ply,6.0,5.818181818181818,1.5,9.5,1.5,8.5
apple_q_bit10_CN1.ply,apple_q_bit10_CN2.ply,9.424242424242424,7.181818181818182,4.0,10.0,3.5,9.5
apple_q_bit10_CN1.ply,apple_q_bit10_CN3.ply,9.424242424242424,4.9393939393939394,4.0,10.0,2.5,9.0
apple_q_bit10_CN1.ply,apple_q_bit10_CN4.ply,9.424242424242424,3.696969696969697,4.0,10.0,1.5,6.5
apple_q_bit10_CN1.ply,apple_q_bit10_CN5.ply,9.424242424242424,3.1515151515151514,4.0,10.0,1.0,5.0
apple_q_bit10_CN2.ply,apple_q_bit10_CN3.ply,7.181818181818182,4.9393939393939394,3.5,9.5,2.5,9.0
apple_q_bit10_CN2.ply,apple_q_bit10_CN4.ply,7.181818181818182,3.696969696969697,3.5,9.5,1.5,6.5
apple_q_bit10_CN2.ply,apple_q_bit10_CN5.ply,7.181818181818182,3.1515151515151514,3.5,9.5,1.0,5.0
apple_q_bit10_CN3.ply,apple_q_bit10_CN4.ply,4.9393939393939394,3.696969696969697,2.5,9.0,1.5,6.5
apple_q_bit10_CN3.ply,apple_q_bit10_CN5.ply,4.9393939393939394,3.1515151515151514,2.5,9.0,1.0,5.0
apple_q_bit10_CN4.ply,apple_q_bit10_CN5.ply,3.696969696969697,3.1515151515151514,1.5,6.5,1.0,5.0
apple_q_bit10_DS1.ply,apple_q_bit10_DS2.ply,9.242424242424242,8.606060606060606,4.0,10.0,3.5,9.5
apple_q_bit10_DS1.ply,apple_q_bit10_DS3.ply,9.242424242424242,6.424242424242424,4.0,10.0,2.5,9.0
apple_q_bit10_DS1.ply,apple_q_bit10_DS4.ply,9.242424242424242,4.393939393939394,4.0,10.0,1.5,6.5
apple_q_bit10_DS1.ply,apple_q_bit10_DS5.ply,9.242424242424242,2.121212121212121,4.0,10.0,1.0,5.0
apple_q_bit10_DS2.ply,apple_q_bit10_DS3.ply,8.606060606060606,6.424242424242424,3.5,9.5,2.5,9.0
apple_q_bit10_DS2.ply,apple_q_bit10_DS4.ply,8.606060606060606,4.393939393939394,3.5,9.5,1.5,6.5
apple_q_bit10_DS2.ply,apple_q_bit10_DS5.ply,8.606060606060606,2.121212121212121,3.5,9.5,1.0,5.0
apple_q_bit10_DS3.ply,apple_q_bit10_DS4.ply,6.424242424242424,4.393939393939394,2.5,9.0,1.5,6.5
apple_q_bit10_DS3.ply,apple_q_bit10_DS5.ply,6.424242424242424,2.121212121212121,2.5,9.0,1.0,5.0
apple_q_bit10_DS4.ply,apple_q_bit10_DS5.ply,4.393939393939394,2.121212121212121,1.5,6.5,1.0,5.0
apple_q_bit10_GN1.ply,apple_q_bit10_GN2.ply,9.030303030303031,8.787878787878787,4.0,10.0,3.5,9.5
apple_q_bit10_GN1.ply,apple_q_bit10_GN3.ply,9.030303030303031,8.090909090909092,4.0,10.0,2.5,9.0
apple_q_bit10_GN1.ply,apple_q_bit10_GN4.ply,9.030303030303031,4.818181818181818,4.0,10.0,1.5,6.5
apple_q_bit10_GN1.ply,apple_q_bit10_GN5.ply,9.030303030303031,4.696969696969697,4.0,10.0,1.0,5.0
