image1,image2,mos1,mos2,worst1,best1,worst2,best2
redandblack_0.ply,redandblack_1.ply,8.167091837,6.45,6.5,10.0,5.5,9.0
redandblack_0.ply,redandblack_2.ply,8.167091837,6.734375,6.5,10.0,4.0,8.5
redandblack_0.ply,redandblack_3.ply,8.167091837,4.9,6.5,10.0,2.0,8.0
redandblack_0.ply,redandblack_4.ply,8.167091837,6.286989796,6.5,10.0,1.5,7.0
redandblack_0.ply,redandblack_5.ply,8.167091837,3.7578125,6.5,10.0,1.0,5.0
redandblack_1.ply,redandblack_2.ply,6.45,6.734375,5.5,9.0,4.0,8.5
redandblack_1.ply,redandblack_3.ply,6.45,4.9,5.5,9.0,2.0,8.0
redandblack_1.ply,redandblack_4.ply,6.45,6.286989796,5.5,9.0,1.5,7.0
redandblack_1.ply,redandblack_5.ply,6.45,3.7578125,5.5,9.0,1.0,5.0
redandblack_2.ply,redandblack_3.ply,6.734375,4.9,4.0,8.5,2.0,8.0
redandblack_2.ply,redandblack_4.ply,6.734375,6.286989796,4.0,8.5,1.5,7.0
redandblack_2.ply,redandblack_5.ply,6.734375,3.7578125,4.0,8.5,1.0,5.0
redandblack_3.ply,redandblack_4.ply,4.9,6.286989796,2.0,8.0,1.5,7.0
redandblack_3.ply,redandblack_5.ply,4.9,3.7578125,2.0,8.0,1.0,5.0
redandblack_4.ply,redandblack_5.ply,6.286989796,3.7578125,1.5,7.0,1.0,5.0
redandblack_6.ply,redandblack_7.ply,9.392857143,7.608333333,6.5,10.0,5.5,9.0
redandblack_6.ply,redandblack_8.ply,9.392857143,7.24744898,6.5,10.0,4.0,8.5
redandblack_6.ply,redandblack_9.ply,9.392857143,6.53125,6.5,10.0,2.0,8.0
redandblack_6.ply,redandblack_10.ply,9.392857143,5.515625,6.5,10.0,1.5,7.0
redandblack_6.ply,redandblack_11.ply,9.392857143,4.780769231,6.5,10.0,1.0,5.0
redandblack_7.ply,redandblack_8.ply,7.608333333,7.24744898,5.5,9.0,4.0,8.5
redandblack_7.ply,redandblack_9.ply,7.608333333,6.53125,5.5,9.0,2.0,8.0
redandblack_7.ply,redandblack_10.ply,7.608333333,5.515625,5.5,9.0,1.5,7.0
redandblack_7.ply,redandblack_11.ply,7.608333333,4.780769231,5.5,9.0,1.0,5.0
redandblack_8.ply,redandblack_9.ply,7.24744898,6.53125,4.0,8.5,2.0,8.0
redandblack_8.ply,redandblack_10.ply,7.24744898,5.515625,4.0,8.5,1.5,7.0
redandblack_8.ply,redandblack_11.ply,7.24744898,4.780769231,4.0,8.5,1.0,5.0
redandblack_9.ply,redandblack_10.ply,6.53125,5.515625,2.0,8.0,1.5,7.0
redandblack_9.ply,redandblack_11.ply,6.53125,4.780769231,2.0,8.0,1.0,5.0
redandblack_10.ply,redandblack_11.ply,5.515625,4.780769231,1.5,7.0,1.0,5.0
redandblack_12.ply,redandblack_13.ply,7.767307692,6.803846154,6.5,10.0,5.5,9.0
redandblack_12.ply,redandblack_14.ply,7.767307692,6.65,6.5,10.0,4.0,8.5
redandblack_12.ply,redandblack_15.ply,7.767307692,5.1640625,6.5,10.0,2.0,8.0
redandblack_12.ply,redandblack_16.ply,7.767307692,3.709615385,6.5,10.0,1.5,7.0
redandblack_12.ply,redandblack_17.ply,7.767307692,2.141666667,6.5,10.0,1.0,5.0
redandblack_13.ply,redandblack_14.ply,6.803846154,6.65,5.5,9.0,4.0,8.5
redandblack_13.ply,redandblack_15.ply,6.803846154,5.1640625,5.5,9.0,2.0,8.0
redandblack_13.ply,redandblack_16.ply,6.803846154,3.709615385,5.5,9.0,1.5,7.0
redandblack_13.ply,redandblack_17.ply,6.803846154,2.141666667,5.5,9.0,1.0,5.0
redandblack_14.ply,redandblack_15.ply,6.65,5.1640625,4.0,8.5,2.0,8.0
redandblack_14.ply,redandblack_16.ply,6.65,3.709615385,4.0,8.5,1.5,7.0
redandblack_14.ply,redandblack_17.ply,6.65,2.141666667,4.0,8.5,1.0,5.0
redandblack_15.ply,redandblack_16.ply,5.1640625,3.709615385,2.0,8.0,1.5,7.0
redandblack_15.ply,redandblack_17.ply,5.1640625,2.141666667,2.0,8.0,1.0,5.0
redandblack_16.ply,redandblack_17.ply,3.709615385,2.141666667,1.5,7.0,1.0,5.0
redandblack_18.ply,redandblack_19.ply,8.191666667,6.85,6.5,10.0,5.5,9.0
redandblack_18.ply,redandblack_20.ply,8.191666667,6.144132653,6.5,10.0,4.0,8.5
redandblack_18.ply,redandblack_21.ply,8.191666667,4.6484375,6.5,10.0,2.0,8.0
redandblack_18.ply,redandblack_22.ply,8.191666667,3.465384615,6.5,10.0,1.5,7.0
redandblack_18.ply,redandblack_23.ply,8.191666667,1.433333333,6.5,10.0,1.0,5.0
redandblack_19.ply,redandblack_20.ply,6.85,6.144132653,5.5,9.0,4.0,8.5
redandblack_19.ply,redandblack_21.ply,6.85,4.6484375,5.5,9.0,2.0,8.0
redandblack_19.ply,redandblack_22.ply,6.85,3.465384615,5.5,9.0,1.5,7.0
redandblack_19.ply,redandblack_23.ply,6.85,1.433333333,5.5,9.0,1.0,5.0
redandblack_20.ply,redandblack_21.ply,6.144132653,4.6484375,4.0,8.5,2.0,8.0
redandblack_20.ply,redandblack_22.ply,6.144132653,3.465384615,4.0,8.5,1.5,7.0
redandblack_20.ply,redandblack_23.ply,6.144132653,1.433333333,4.0,8.5,1.0,5.0
redandblack_21.ply,redandblack_22.ply,4.6484375,3.465384615,2.0,8.0,1.5,7.0
redandblack_21.ply,redandblack_23.ply,4.6484375,1.433333333,2.0,8.0,1.0,5.0
redandblack_22.ply,redandblack_23.ply,3.465384615,1.433333333,1.5,7.0,1.0,5.0
redandblack_24.ply,redandblack_25.ply,8.2578125,7.3515625,6.5,10.0,5.5,9.0
redandblack_24.ply,redandblack_26.ply,8.2578125,5.579081633,6.5,10.0,4.0,8.5
redandblack_24.ply,redandblack_27.ply,8.2578125,2.4375,6.5,10.0,2.0,8.0
redandblack_24.ply,redandblack_28.ply,8.2578125,2.275,6.5,10.0,1.5,7.0
redandblack_24.ply,redandblack_29.ply,8.2578125,1.0,6.5,10.0,1.0,5.0
redandblack_25.ply,redandblack_26.ply,7.3515625,5.579081633,5.5,9.0,4.0,8.5
redandblack_25.ply,redandblack_27.ply,7.3515625,2.4375,5.5,9.0,2.0,8.0
redandblack_25.ply,redandblack_28.ply,7.3515625,2.275,5.5,9.0,1.5,7.0
redandblack_25.ply,redandblack_29.ply,7.3515625,1.0,5.5,9.0,1.0,5.0
redandblack_26.ply,redandblack_27.ply,5.579081633,2.4375,4.0,8.5,2.0,8.0
redandblack_26.ply,redandblack_28.ply,5.579081633,2.275,4.0,8.5,1.5,7.0
redandblack_26.ply,redandblack_29.ply,5.579081633,1.0,4.0,8.5,1.0,5.0
redandblack_27.ply,redandblack_28.ply,2.4375,2.275,2.0,8.0,1.5,7.0
redandblack_27.ply,redandblack_29.ply,2.4375,1.0,2.0,8.0,1.0,5.0
redandblack_28.ply,redandblack_29.ply,2.275,1.0,1.5,7.0,1.0,5.0
redandblack_30.ply,redandblack_31.ply,8.125,6.441666667,6.5,10.0,5.5,9.0
redandblack_30.ply,redandblack_32.ply,8.125,5.9609375,6.5,10.0,4.0,8.5
redandblack_30.ply,redandblack_33.ply,8.125,3.394132653,6.5,10.0,2.0,8.0
redandblack_30.ply,redandblack_34.ply,8.125,1.866666667,6.5,10.0,1.5,7.0
redandblack_30.ply,redandblack_35.ply,8.125,1.848076923,6.5,10.0,1.0,5.0
redandblack_31.ply,redandblack_32.ply,6.441666667,5.9609375,5.5,9.0,4.0,8.5
redandblack_31.ply,redandblack_33.ply,6.441666667,3.394132653,5.5,9.0,2.0,8.0
redandblack_31.ply,redandblack_34.ply,6.441666667,1.866666667,5.5,9.0,1.5,7.0
redandblack_31.ply,redandblack_35.ply,6.441666667,1.848076923,5.5,9.0,1.0,5.0
redandblack_32.ply,redandblack_33.ply,5.9609375,3.394132653,4.0,8.5,2.0,8.0
redandblack_32.ply,redandblack_34.ply,5.9609375,1.866666667,4.0,8.5,1.5,7.0
redandblack_32.ply,redandblack_35.ply,5.9609375,1.848076923,4.0,8.5,1.0,5.0
redandblack_33.ply,redandblack_34.ply,3.394132653,1.866666667,2.0,8.0,1.5,7.0
redandblack_33.ply,redandblack_35.ply,3.394132653,1.848076923,2.0,8.0,1.0,5.0
redandblack_34.ply,redandblack_35.ply,1.866666667,1.848076923,1.5,7.0,1.0,5.0
redandblack_36.ply,redandblack_37.ply,8.525,6.063461538,6.5,10.0,5.5,9.0
redandblack_36.ply,redandblack_38.ply,8.525,5.96875,6.5,10.0,4.0,8.5
